Year,Summary,January,February,March,April,May,June,July,August,September,October,November,December
2009,5786,181,422,830,639,612,209,241,110,330,102,1960,150
2010,11094,990,234,509,1106,803,886,426,1252,707,1336,1026,1819
2011,9263,702,925,583,2252,818,682,430,390,423,470,737,851
2012,23235,1148,1003,1622,2501,3228,2259,3124,2887,1583,1830,1110,940
2013,15671,1460,1105,1138,1271,932,989,1623,1359,1140,1941,1327,1386
2014,16714,1552,1151,1644,2103,2175,1447,1606,886,885,260,1380,1625
2015,6503,758,654,849,838,429,736,446,564,81,216,144,788
2016,11074,2450,535,871,699,732,1471,321,762,979,452,696,1106
2017,18650,746,888,1070,1935,1494,1210,1364,1889,1516,1596,2585,2357
2018,56509,2273,2404,1571,2525,10489,5160,3707,3895,3722,10862,6564,3337
2019,272322,6810,7197,10466,12979,13181,32837,45459,23763,47195,26717,22731,22987
2020,171681,15960,18668,20159,16306,14157,11250,10659,14459,13077,10921,9293,16772
2021,189565,11253,14969,18562,15476,13997,18730,20791,16531,14022,16164,17160,11910
2022,175793,11299,12125,13566,10410,10262,14432,13652,18251,14397,15560,14888,26951
2023,223030,18297,16483,22071,14262,17591,19858,18929,20943,16827,21344,18296,18129
2024,39737,20260,16220,2058,1199,0,0,0,0,0,0,0,0
